Idade,Anos_Experiencia,Escolaridade,Segunda_Lingua,Terceira_Lingua,Regiao,Profissao,Salario
56.0,22.0,Superior,Inglês,Italiano,Sudeste,Vendedor,
46.0,11.0,Médio,Alemão,Francês,Sudeste,Consultor,erro
32.0,26.0,Fundamental,Inglês,Nenhuma,Sul,Consultor,6606.26
60.0,21.0,Pós,Francês,Nenhuma,Nordeste,Policial,6673.46
25.0,31.0,Médio,Alemão,Espanhol,Centro-Oeste,Professor,6632.4
38.0,26.0,Médio,Italiano,Nenhuma,Norte,Médico,12341.06
56.0,1.0,Médio,Inglês,Inglês,Nordeste,Agrônomo,3174.29
36.0,32.0,Médio,Nenhuma,Italiano,Nordeste,Engenheiro,13165.88
40.0,25.0,Superior,Inglês,Nenhuma,Centro-Oeste,Motorista,3865.02
28.0,27.0,Superior,Inglês,Inglês,Sudeste,Engenheiro,21455.03
28.0,18.0,Técnico,Alemão,Inglês,Sudeste,Economista,8998.73
41.0,4.0,Superior,Alemão,Nenhuma,Nordeste,Designer,5102.42
53.0,32.0,Mestrado,Alemão,Inglês,Sudeste,Advogado,33507.4
erro,,Doutorado,Italiano,Nenhuma,Sudeste,Designer,16251.64
41.0,29.0,Superior,Alemão,Inglês,Nordeste,Designer,10155.16
20.0,7.0,Superior,Nenhuma,Nenhuma,Centro-Oeste,Técnico,70717.2
39.0,37.0,Técnico,Francês,Nenhuma,Nordeste,Consultor,7905.55
19.0,16.0,Superior,Inglês,Nenhuma,Nordeste,Técnico,
41.0,0.0,Pós,Nenhuma,Francês,Sudeste,Analista de Dados,11532.12
61.0,2.0,Superior,Nenhuma,Francês,Nordeste,Engenheiro,9039.64
47.0,25.0,Técnico,Inglês,Nenhuma,Centro-Oeste,Motorista,4326.18
55.0,30.0,Superior,Inglês,Espanhol,Nordeste,Técnico,6652.2
19.0,7.0,Doutorado,Alemão,Inglês,Norte,Economista,8271.92
38.0,7.0,Mestrado,Inglês,Espanhol,Sudeste,Enfermeiro,8794.95
50.0,34.0,Pós,Inglês,Francês,Sudeste,Administrador,14321.49
29.0,38.0,Técnico,Nenhuma,Nenhuma,Sudeste,Engenheiro,18710.52
39.0,27.0,Médio,Inglês,Nenhuma,Sudeste,Arquiteto,12074.11
61.0,3.0,Mestrado,Inglês,Inglês,Sul,Arquiteto,16667.1
42.0,15.0,Médio,Francês,Nenhuma,Sudeste,Pesquisador,12284.29
44.0,12.0,Superior,Inglês,Nenhuma,Sul,Cientista,16286.08
59.0,19.0,Superior,Nenhuma,Nenhuma,Nordeste,Médico,12897.15
45.0,xxx,Superior,Inglês,Francês,Sul,Cientista,11430.95
33.0,36.0,Superior,Alemão,Inglês,Sudeste,Técnico,9745.22
32.0,19.0,Mestrado,Inglês,Nenhuma,Sul,Designer,14472.95
64.0,23.0,Médio,Francês,Nenhuma,Sudeste,Designer,6535.83
61.0,35.0,Pós,Alemão,Nenhuma,Norte,Programador,231423.6
20.0,33.0,Mestrado,Nenhuma,Italiano,Sul,Vendedor,5458.74
54.0,33.0,Doutorado,Inglês,Inglês,Centro-Oeste,Vendedor,9044.59
